# R,G,B per-pixel gain multiplier
1.018271,1.045695,1.047901
1.018831,1.044152,1.047361
1.015903,1.041583,1.048165
1.015582,1.043032,1.045926
1.014646,1.041852,1.044631
1.015396,1.045808,1.047409
1.016599,1.041219,1.046057
1.014705,1.041583,1.049952
1.014280,1.040253,1.043182
1.014795,1.037799,1.043875
1.016949,1.041954,1.041274
1.018187,1.039326,1.044115
1.016184,1.038176,1.041659
1.014671,1.043192,1.043913
1.014644,1.037536,1.042561
1.013559,1.038122,1.042250
1.011972,1.035879,1.043295
1.013124,1.035223,1.042818
1.010499,1.035862,1.040512
1.008986,1.038374,1.043132
1.008751,1.035076,1.042101
1.012269,1.036135,1.041373
1.014024,1.036670,1.039374
1.012442,1.035793,1.040167
1.009165,1.035576,1.037032
1.014221,1.033105,1.038285
1.011573,1.032528,1.036864
1.012035,1.034420,1.038381
1.012486,1.031903,1.037932
1.012175,1.033360,1.037505
1.010197,1.034286,1.039011
1.005912,1.032139,1.038165
1.009190,1.033456,1.042326
1.008763,1.033583,1.038463
1.007795,1.035317,1.037395
1.008941,1.036072,1.034642
1.008143,1.034389,1.035902
1.007578,1.026316,1.031693
1.004967,1.029827,1.033888
1.012695,1.029701,1.032623
1.006797,1.030970,1.032361
1.007408,1.029012,1.033464
1.006320,1.028698,1.028562
1.009172,1.025143,1.027530
1.009132,1.028369,1.029250
1.008630,1.023130,1.025160
1.009566,1.025257,1.026509
1.009215,1.023867,1.025485
1.011163,1.022370,1.027071
1.010321,1.020278,1.028706
1.007846,1.024665,1.025378
1.007619,1.022731,1.023938
1.007632,1.023276,1.024555
1.005256,1.021705,1.024200
1.006758,1.022781,1.028364
1.008384,1.022678,1.025416
1.007777,1.026115,1.024923
1.004630,1.020651,1.025575
1.005349,1.023228,1.023769
1.004409,1.017366,1.020954
1.008429,1.019311,1.025072
1.003711,1.021926,1.025471
1.002737,1.022661,1.023646
1.006554,1.020831,1.022593
1.006094,1.018015,1.023993
1.004002,1.015855,1.023084
1.011838,1.017805,1.019560
1.010400,1.017316,1.020011
1.005519,1.018498,1.022082
1.006123,1.020316,1.024567
1.008844,1.017908,1.023121
1.005976,1.016162,1.019244
1.004337,1.011716,1.020357
1.004965,1.013581,1.020736
1.004095,1.020266,1.019233
1.006330,1.015527,1.021517
1.002305,1.017366,1.017894
1.007936,1.017925,1.018019
1.006840,1.016188,1.017132
1.004074,1.015332,1.018170
1.004879,1.017693,1.017261
1.006786,1.014050,1.015319
1.003570,1.012547,1.018764
1.006108,1.015474,1.016881
1.008047,1.012979,1.016722
1.006585,1.017194,1.014763
1.005954,1.013491,1.015929
1.003016,1.017042,1.016531
1.005377,1.012834,1.016717
1.006872,1.015674,1.013971
1.005916,1.014964,1.016309
1.010149,1.010063,1.012921
1.004541,1.013781,1.014778
1.009208,1.010836,1.015455
1.007789,1.014064,1.014383
1.009984,1.015648,1.017173
1.007475,1.016692,1.017599
1.010101,1.015278,1.014696
1.011099,1.016789,1.017103
1.010719,1.017832,1.018890
1.015264,1.015788,1.016623
1.011668,1.020478,1.016720
1.016796,1.018771,1.018537
1.018743,1.018451,1.021862
1.018157,1.026695,1.023135
1.018592,1.021661,1.023274
1.016617,1.023216,1.022713
1.016090,1.023324,1.024933
1.017131,1.020844,1.025661
1.015097,1.027977,1.023832
1.020114,1.022674,1.025676
1.020257,1.023361,1.023596
1.017912,1.021856,1.023695
1.020573,1.020494,1.024012
1.025010,1.024941,1.026861
1.030312,1.031868,1.026458
1.037552,1.039143,1.028316
1.043539,1.043406,1.026443
1.040349,1.046927,1.028468
1.041881,1.049685,1.028631
1.045998,1.046971,1.026085
1.044244,1.049481,1.031142
1.042589,1.047883,1.027019
1.045919,1.048974,1.026809
1.045732,1.053660,1.027771
1.046869,1.049372,1.027379
1.047255,1.049758,1.028183
1.047800,1.052258,1.026031
1.051844,1.053704,1.028131
1.051340,1.056515,1.029040
1.053062,1.051816,1.027440
1.050901,1.044234,1.027637
1.045103,1.042085,1.030310
1.041863,1.031989,1.031407
1.032327,1.031393,1.031556
1.031052,1.027759,1.033704
1.032816,1.030568,1.031962
1.034829,1.030977,1.031194
1.034681,1.033656,1.034119
1.037892,1.032857,1.033299
1.040098,1.030607,1.034744
1.037190,1.033369,1.033398
1.039301,1.034068,1.033452
1.038293,1.032649,1.032432
1.037389,1.033602,1.034926
1.035056,1.033323,1.033252
1.032797,1.032061,1.034514
1.036876,1.033430,1.035424
1.037033,1.035169,1.036816
1.034242,1.039315,1.035659
1.038124,1.038367,1.038871
1.035816,1.035974,1.039794
1.034112,1.035554,1.036788
1.037298,1.035820,1.036638
1.037950,1.034499,1.034839
1.036037,1.035621,1.037446
1.037670,1.037573,1.038136
1.036986,1.037069,1.039239
1.038656,1.034473,1.034902
1.037637,1.034031,1.036583
1.039693,1.036487,1.039114
1.038979,1.034679,1.037446
1.040923,1.040349,1.036421
1.041078,1.038430,1.042053
1.043411,1.039749,1.037716
1.040852,1.035441,1.041757
1.041626,1.040544,1.039115
1.040373,1.036952,1.039492
1.040628,1.035622,1.041694
1.042803,1.041942,1.039467
1.044994,1.041558,1.040270
1.045598,1.038946,1.041002
1.045512,1.039142,1.038604
1.043706,1.042271,1.037994
1.043309,1.036062,1.038640
1.044525,1.037510,1.036440
1.043416,1.042184,1.038815
1.046128,1.040269,1.037374
1.044698,1.042709,1.039710
1.045490,1.042459,1.040196
1.046780,1.041584,1.042941
1.046000,1.041200,1.041199
1.047885,1.038810,1.044620
1.045670,1.045669,1.043148
1.048579,1.041784,1.042838
1.047489,1.043246,1.043336
1.048523,1.039223,1.043841
1.049414,1.043717,1.039824
1.048724,1.041979,1.042831
1.050478,1.043933,1.043825
1.049217,1.042498,1.044665
1.052886,1.044626,1.044491
1.050096,1.045875,1.041756
1.050368,1.045724,1.043913
1.051150,1.043165,1.044898
1.049682,1.044485,1.042487
1.047889,1.040282,1.043584
1.048202,1.043241,1.039739
1.052822,1.042019,1.043072
1.047039,1.041976,1.042694
1.048069,1.043148,1.041201
1.048885,1.047006,1.040138
1.049721,1.042391,1.041918
1.050451,1.043503,1.041355
1.053927,1.044224,1.040057
1.052755,1.044744,1.040923
1.054334,1.041816,1.038407
