# R,G,B per-pixel gain multiplier
1.018964,1.045970,1.047976
1.019514,1.044454,1.047590
1.016631,1.041871,1.048303
1.016266,1.043373,1.046099
1.015239,1.042109,1.044796
1.016203,1.046050,1.047593
1.017216,1.041479,1.046242
1.015390,1.041948,1.050142
1.014905,1.040476,1.043403
1.015367,1.038136,1.044067
1.017687,1.042168,1.041448
1.018855,1.039638,1.044270
1.016790,1.038352,1.041817
1.015249,1.043268,1.044116
1.015212,1.037724,1.042714
1.014132,1.038259,1.042475
1.012574,1.036103,1.043483
1.013699,1.035499,1.042929
1.010922,1.036048,1.040670
1.009570,1.038497,1.043340
1.009371,1.035342,1.042238
1.012909,1.036408,1.041570
1.014588,1.036937,1.039471
1.012995,1.035910,1.040380
1.009619,1.035758,1.037106
1.014834,1.033328,1.038342
1.012270,1.032793,1.037094
1.012535,1.034766,1.038620
1.013019,1.032196,1.038117
1.012755,1.033624,1.037536
1.010900,1.034573,1.039060
1.006428,1.032279,1.038357
1.009771,1.033720,1.042557
1.009326,1.033784,1.038729
1.008337,1.035461,1.037479
1.009549,1.036313,1.034628
1.008810,1.034496,1.036105
1.008114,1.026527,1.031908
1.005552,1.030048,1.034060
1.013477,1.029879,1.032788
1.007327,1.031228,1.032464
1.007931,1.029150,1.033662
1.006898,1.028907,1.028786
1.009754,1.025355,1.027608
1.009739,1.028433,1.029340
1.009184,1.023309,1.025368
1.010121,1.025437,1.026658
1.009673,1.023996,1.025731
1.011661,1.022555,1.027182
1.010876,1.020454,1.028970
1.008403,1.024864,1.025594
1.008170,1.022862,1.024192
1.008290,1.023478,1.024820
1.005803,1.021804,1.024468
1.007339,1.023064,1.028695
1.008954,1.022744,1.025515
1.008270,1.026351,1.025161
1.005197,1.020797,1.025804
1.005895,1.023495,1.024029
1.004818,1.017594,1.021050
1.008907,1.019496,1.025296
1.004202,1.022055,1.025624
1.003185,1.022830,1.023730
1.007077,1.021006,1.022897
1.006765,1.018121,1.024197
1.004522,1.016007,1.023228
1.012413,1.017933,1.019606
1.010963,1.017456,1.020149
1.006124,1.018619,1.022234
1.006547,1.020358,1.024677
1.009290,1.018142,1.023168
1.006619,1.016242,1.019344
1.004849,1.011895,1.020469
1.005357,1.013646,1.020678
1.004533,1.020296,1.019257
1.006815,1.015575,1.021553
1.002836,1.017412,1.017885
1.008479,1.018020,1.018018
1.007359,1.016204,1.017131
1.004675,1.015382,1.018147
1.005407,1.017719,1.017213
1.007301,1.014117,1.015252
1.004054,1.012758,1.018756
1.006496,1.015437,1.016788
1.008439,1.012982,1.016709
1.007035,1.017195,1.014659
1.006358,1.013425,1.015689
1.003445,1.017033,1.016240
1.005856,1.012646,1.016501
1.007373,1.015677,1.013766
1.006219,1.014932,1.016174
1.010671,1.009955,1.012738
1.004912,1.013655,1.014626
1.009567,1.010722,1.015235
1.008190,1.013819,1.014053
1.010371,1.015525,1.016854
1.007914,1.016602,1.017274
1.010411,1.015211,1.014426
1.011368,1.016669,1.016840
1.011148,1.017596,1.018587
1.015684,1.015591,1.016278
1.012020,1.020519,1.016539
1.017209,1.018634,1.018441
1.019257,1.018399,1.021722
1.018659,1.026769,1.023039
1.019055,1.021812,1.023047
1.017228,1.023233,1.022522
1.016550,1.023242,1.024774
1.017522,1.020710,1.025526
1.015400,1.028027,1.023770
1.020525,1.022553,1.025627
1.020680,1.023297,1.023523
1.018374,1.021828,1.023647
1.021008,1.020348,1.023848
1.025532,1.024729,1.026821
1.030842,1.031825,1.026283
1.038103,1.038932,1.028170
